How have you weathered the storm ?	How have you succeeded in getting through the difficult situation?
He could not imagine finding tranquillity of soul in old age ; if he could only be allowed to mark time for a while all might yet be well , one might suddenly achieve equilibrium , certainty , serenity .	He could not imagine finding tranquillity of soul in old age ; if he could only be allowed to wait for a while all might yet be well , one might suddenly achieve equilibrium , certainty , serenity .
And by this stage in this commentary , he wrote , there is no need to qualify the words success , triumph , and the rest , qualifications can be taken as read .	And by this stage in this commentary , he wrote , there is no need to qualify the words success , triumph , and the rest , qualifications can be accepted without further inspection .
While the Tories were holding the line in the South , there was gloomier news in the North .	While the Tories were maintaining the position in the South , there was gloomier news in the North .
He has been welcomed back with open arms by team - mates who appreciate talent , courage and strong character — we will need all three qualities to overcome the Springboks .	He has been welcomed back with great affection by team - mates who appreciate talent , courage and strong character — we will need all three qualities to overcome the Springboks .
So I I fucking get it right , say something , I was right pissed off by this time , next , I , I , I stood out and step forward fucking get closer sort of thing and say something and that was it , .	So I I fucking get it right , say something , I was right annoyed by this time , next , I , I , I stood out and step forward fucking get closer sort of thing and say something and that was it , .
But we had saved the day , and our long friendship .	But we had solved the situation , and our long friendship .
There are people who know probably more than me and for one reason or another have been afraid to stand up and be counted,’ he said .	There are people who know probably more than me and for one reason or another have been afraid to speak up,’ he said .
Halifax are pulling out all the stops to try to strengthen their squad and want a sponsor to help fund a deal for Aussie Test forward Bob Lindner .	Halifax are making a great effort to try to strengthen their squad and want a sponsor to help fund a deal for Aussie Test forward Bob Lindner .
‘ The pure and simple fact’ , said Harris , ‘ is that I loved it . ‘	‘ The simple fact’ , said Harris , ‘ is that I loved it . ‘
Nor is the Thames / BBC project likely to be beset by the teething troubles which plagued the pioneer satellite broadcasters .	Nor is the Thames / BBC project likely to be beset by the small problems which plagued the pioneer satellite broadcasters .
It was perfectly true ; she had had a friend once who 'd changed personality at the drop of a hat as soon as she had conceived .	It was perfectly true ; she had had a friend once who 'd changed personality immediately as soon as she had conceived .
Still , better safe than sorry.’	Still , it is more wise to be cautious than rush to do something you may regret later.’
Suits off , jeans on , Kim Dyas , Business Development Manager for Stoddard Mercia , gets stuck in to sort out samples .	Suits off , jeans on , Kim Dyas , Business Development Manager for Stoddard Mercia , starts to sort out samples with enthusiasm .
Come on , stop playing silly buggers , you 're putting the wind right up me.’	Come on , stop behaving in an annoying way , you 're putting the wind right up me.’
 I mean, we have to draw a line between just the abuse of free speech and hate in the raw .	I mean, we have to draw a line between just the abuse of free speech and hate in its true state .
Parents have been selected to become erm , relatively insensitive to signs of distress in the offspring , because erm , as where they cry wolf all the time , and as a result , erm , parents do n't take crying as seriously in children as they do in adults .	Parents have been selected to become erm , relatively insensitive to signs of distress in the offspring , because erm , as where they give false alarms all the time , and as a result , erm , parents do n't take crying as seriously in children as they do in adults .
Land set aside in the EC must not be the green light for imports from other countries either — whether from countries in the GATT negotiations , or from Eastern Europe .	Land set aside in the EC must not be the signal to proceed for imports from other countries either — whether from countries in the GATT negotiations , or from Eastern Europe .
‘ Potentially there are a lot of places up for grabs .	‘ Potentially there are a lot of places available .
‘ To a certain extent you 'll have free rein,’ he 'd told her over the telephone .	‘ To a certain extent you 'll have unrestricted liberty of decision ,’ he 'd told her over the telephone .
The cause of the devastating fire at Duesseldorf airport is suspected to have been a rainwater pipe that had caught fire .	The cause of the devastating fire at Duesseldorf airport is suspected to have been a rainwater pipe that had burned .
Having a ticket should do the trick .	Having a ticket should work .
All you had to do was walk past in high heels and a tight skirt with your popper beads hanging down your button - up cardigan and a bra which shaped your breasts into sharply protruding cones and they exploded into admiring noises , gave you the eye , even followed you home .	All you had to do was walk past in high heels and a tight skirt with your popper beads hanging down your button - up cardigan and a bra which shaped your breasts into sharply protruding cones and they exploded into admiring noises , looked at you with sexual interest , even followed you home .
We know employees are being blackmailed with their jobs to risk life and limb so employers can make a fat profit at our expense .	We know employees are being blackmailed with their jobs to do something dangerous so employers can make a fat profit at our expense .
It would be grist to the mill of the tabloids if anything so bizarre happened next week , especially after the kind of meticulous preparation all tournaments of this magnitude can expect .	It would be useful to the tabloids if anything so bizarre happened next week , especially after the kind of meticulous preparation all tournaments of this magnitude can expect .
Waking bright and early the next morning I reached for a copy of Delicacy as the most economical means of establishing whether I was still alive .	Waking very early in the next morning I reached for a copy of Delicacy as the most economical means of establishing whether I was still alive .
You know what it 's like to part wi ' your grandchild , to know there 'll be others you 'll not set eyes on ?	You know what it 's like to part wi ' your grandchild , to know there 'll be others you 'll not see ?
‘ Hey , Matt,’ I say to him , ‘ We 're on a roll , let 's go with the flow’ , and he nods like some old prophet in The Ten Commandments .	‘ Hey , Matt,’ I say to him , ‘ We 're on a roll , let 's relax and accept the situation ’ , and he nods like some old prophet in The Ten Commandments .
She looked at Mairi , who happened to glance over and catch her eye ; and the woman howled and started to moan at the very sight of the wee lass .	She looked at Mairi , who happened to glance over and catch her attention ; and the woman howled and started to moan at the very sight of the wee lass .
If you 're starting from scratch , what do you really need ?	If you 're starting from the beginning , what do you really need ?
Robbie longed to ask , but did n't dare tempt fate .	Robbie longed to ask , but did n't dare do something dangerous.
I 'll give you some grief if you say	I 'll give you some problems if you say
A 37-year - old woman accused of mortgage frauds totalling more than £ 1 million yesterday collapsed twice in the dock as the case got under way .	A 37-year - old woman accused of mortgage frauds totalling more than £ 1 million yesterday collapsed twice on trial as the case got under way .
Stretchered home in a plaster cast , Baxter reflected on his own part in his downfall , ‘ I probably took the mickey too much,’ he said .	Stretchered home in a plaster cast , Baxter reflected on his own part in his downfall , ‘ I probably mocked too much,’ he said .
The result is that ordinary motorists can now get the cars of their dreams for a song , and they could even end up being a good little earner .	The result is that ordinary motorists can now get the cars of their dreams very cheaply , and they could even end up being a good little earner .
That was Mandy , from pathos to pleasure in the blink of an eye .	That was Mandy , from pathos to pleasure very quickly .
Daley Thompson is launching a new career in the fast lane at the Silverstone Race Track .	Daley Thompson is launching a new career in an exciting position at the Silverstone Race Track .
I know that 's not your fault , but all the same , God damn you , I ca n't help hating your guts—!’	I know that 's not your fault , but all the same , God damn you , I ca n't help hating you so much —!’
Applying the above rule of thumb , the figure for moderate / severe dementia would be around 120 .	Applying the above principle , the figure for moderate / severe dementia would be around 120 .
I suspect that Okonjo - Iweala , with her enormous competence and renowned wit , would have gotten the better of Kim .	I suspect that Okonjo - Iweala , with her enormous competence and renowned wit , would have defeated Kim .
Neff built up the firm 's business in the USA not by dint of one overwhelming individual personality , as Roche had done for Heidrick and Struggles , but by exemplifying the success of the Spencer Stuart method of problem - solving in management crises across a range of corporate sectors .	Neff built up the firm 's business in the USA not by means of one overwhelming individual personality , as Roche had done for Heidrick and Struggles , but by exemplifying the success of the Spencer Stuart method of problem - solving in management crises across a range of corporate sectors .
PRYING : Edna 's out to probe every nook and cranny	PRYING : Edna 's out to probe every aspect of the thing
The male exhibitionist is usually of inadequate personality and is sexually below par — the symbolic rape implicit in exposure to an unwilling victim is usually the utmost of which he is capable .	The male exhibitionist is usually of inadequate personality and is sexually worse than expected — the symbolic rape implicit in exposure to an unwilling victim is usually the utmost of which he is capable .
‘ All day , on and off.’	‘ All day , intermittently.’
Ladies and gentlemen , please ask the people in your constituencies whether they want us to play with fire in this way .	Ladies and gentlemen , please ask the people in your constituencies whether they want us to take risks that may cause trouble in this way .
When Victor and I gave them the slip at Victoria station they knew we were onto them .	When Victor and I let them escape at Victoria station they knew we were onto them .
At least , this human being loyally follows me around the place , keeps tabs on me and rings me up the whole time .	At least , this human being loyally follows me around the place , monitors my actions and rings me up the whole time .
In what she acknowledged was a difficult year for the Scottish party , Mrs McGuire admitted the party had yet to fully come to terms with the election defeat last April .	In what she acknowledged was a difficult year for the Scottish party , Mrs McGuire admitted the party had yet to fully come to accept the election defeat last April .
The troubled conscience , the tortured mind , compelling one to come to terms with life , made one impatient of the mere accumulation of facts .	The troubled conscience , the tortured mind , compelling one to come to accept life , made one impatient of the mere accumulation of facts .
"It is so spot on and I think it's the kind of point that could actually create a "" click "" moment for a lot of these gym people. "	"It is so accurate and I think it's the kind of point that could actually create a "" click "" moment for a lot of these gym people."
United would have sent Rangers into tomorrow night 's match at Motherwell on the rebound from their first defeat in 37 matches , too , had it not been for the exceptional goalkeeping of Andy Goram once again .	United would have sent Rangers into tomorrow night 's match at Motherwell with emotional distress from their first defeat in 37 matches , too , had it not been for the exceptional goalkeeping of Andy Goram once again .
Police suspected that the boys , whose fun and games hurt a lot of people , were on drugs .	Police suspected that the boys , whose enjoyable activities hurt a lot of people , were on drugs .
The Book of Proverbs makes it clear that happiness and discipline go hand in hand from the beginning of our lives : ‘ He who spares the rod hates his son , but he who loves him is careful to discipline him.’	The Book of Proverbs makes it clear that happiness and discipline are associated with the beginning of our lives : ‘ He who spares the rod hates his son , but he who loves him is careful to discipline him.’
About Amy he had drawn a complete blank .	About Amy he couldn't remember anything .
The basic philosophy involves farming as far as possible within a closed system : in a nutshell , growing crops to feed the animals and using the manure those animals produce to fertilize the soil in order to grow more crops .	The basic philosophy involves farming as far as possible within a closed system : in short, growing crops to feed the animals and using the manure those animals produce to fertilize the soil in order to grow more crops .
For fuck 's sake get a grip .	For fuck 's sake keep your self-control.
It was one more case of famous last words .	It was one more case of overconfident remarks .
Strains of The Rolling Stones , The Faces , Bad Company and Free floated to the surface ( mainly due to Chris Robinson 's earthy vocal ) , but dig a little deeper and , like all good things , something special eventually showed itself and The Black Crowes proved that they were birds of another feather entirely .	Strains of The Rolling Stones , The Faces , Bad Company and Free floated to the surface ( mainly due to Chris Robinson 's earthy vocal ) , but dig a little deeper and , like all good things , something special eventually showed itself and The Black Crowes proved that they were different entirely .
I was waiting one night for a bus from South Kensington to Fulham when two of them , who obviously had had one or two over the eight came towards me .	I was waiting one night for a bus from South Kensington to Fulham when two of them , who obviously had been drunk came towards me .
The sixties were in full swing and we all lived , whether we like it or not , in a permissive society .	The sixties were at the height of their activity and we all lived , whether we like it or not , in a permissive society .
The road and railway from Mallaig go south hand in hand along the coast to Keppoch , famed for its glorious seascapes , and Arisaig , a small village beloved of discerning holidaymakers who find there tranquillity in alliance with an enchanting coast .	The road and railway from Mallaig go south in parallel along the coast to Keppoch , famed for its glorious seascapes , and Arisaig , a small village beloved of discerning holidaymakers who find there tranquillity in alliance with an enchanting coast .
All went like clockwork until they reached the top , where a keen wind cut through their thick overalls , making them shiver .	All went with regularity until they reached the top , where a keen wind cut through their thick overalls , making them shiver .
During the 1950s , both railways hoped that major investment plans ( BTC 1955 ; RENFE 1950 ; 1957 m : ix ) would allow them to modernize , reduce costs and attract sufficient traffic to break even .	During the 1950s , both railways hoped that major investment plans ( BTC 1955 ; RENFE 1950 ; 1957 m : ix ) would allow them to modernize , reduce costs and attract sufficient traffic to make profits equal to costs .
‘ Whilst steering clear of any dangling hydra?’	‘ Whilst staying away from any dangling hydra?’
It is a strength , not a weakness , that it responds precisely to the ‘ signs of the time’ presented by secular society .	It is a strength , not a weakness , that it responds precisely to the thing exemplifying this period of time presented by secular society .
We called the tune .	We dictated how the situation proceeds .
Manager Harry McNally said : ‘ We are not out of the wood but we have been thrown a lifeline .	Manager Harry McNally said : ‘ We are not out of danger but we have been thrown a lifeline .
One way out of this dead - end situation , denying as it did the possibility of a human relationship , was taken by Donne in his love - poems , where the woman is no longer on a pedestal but is discovered in bed with the poet .	One way out of this dead - end situation , denying as it did the possibility of a human relationship , was taken by Donne in his love - poems , where the woman is no longer on a pedestal but is discovered having a relationship with the poet .
However , Richard Amos , the youth worker , continues to put considerable effort into the work of the youth club and would welcome with open arms any volunteers to join those already helping .	However , Richard Amos , the youth worker , continues to put considerable effort into the work of the youth club and would welcome with great affection any volunteers to join those already helping .
Josephine , Cynthia , and Agnes had been all over the place .	Josephine , Cynthia , and Agnes had been everywhere .
It means Labour biting the bullet .	It means Labour enduring a painful but unavoidable situation .
he 's been able to get round it really , it might well be above board , but the police have been looking into it	he 's been able to get round it really , it might well be legitimate , but the police have been looking into it
For if a country makes it hard to create companies , do n’t be surprised if new companies are few and far between .	For if a country makes it hard to create companies , do n’t be surprised if new companies are scarce .
I looked naked under the lace ( the desired effect ) , but in fact ‘ M’ always makes built - in underwear out of fine flesh - coloured fabric with several linings of asbestos and a Liberty bodice under the lot for good measure .	I looked naked under the lace ( the desired effect ) , but in fact ‘ M’ always makes built - in underwear out of fine flesh - coloured fabric with several linings of asbestos and a Liberty bodice under the lot in addition .
Health promoters were on hand at the Albert Dock watering hole to ask people about their drinking habits , give free health checks and advice on healthy drinking levels .	Health promoters were on hand at the Albert Dock drinking place to ask people about their drinking habits , give free health checks and advice on healthy drinking levels .
Er i this is why it 's important that you mix with people , that you get out and about , because if you find that everybody else is , is getting up the hill faster than you and everybody else is crossing the roads quicker than you and all the rest of it , it should tell you something , now I mean I do n't even want to go into competition but I think it is good occasionally to see if you can walk as fast as that eighteen year old in front of you .	Er i this is why it 's important that you mix with people , that you engage in normal activities , because if you find that everybody else is , is getting up the hill faster than you and everybody else is crossing the roads quicker than you and all the rest of it , it should tell you something , now I mean I do n't even want to go into competition but I think it is good occasionally to see if you can walk as fast as that eighteen year old in front of you .
Her arm linked through his , publicly staking her claim , the woman had gazed adoringly up at him , and with ill - concealed triumph at everyone else .	Her arm linked through his , publicly making a claim , the woman had gazed adoringly up at him , and with ill - concealed triumph at everyone else .
The various departmental select committees looking at the estimates and the Public Accounts Committee looking at the accounts of what has been spent , can only scratch the surface .	The various departmental select committees looking at the estimates and the Public Accounts Committee looking at the accounts of what has been spent , can only deal with the matter in the most supervicial way .
GRAHAM TAYLOR searches desperately for someone to get a grip of England 's midfield and you wonder if it is too late — at 28 — for Stewart Robson .	GRAHAM TAYLOR searches desperately for someone to control England 's midfield and you wonder if it is too late — at 28 — for Stewart Robson .
Villa Sylvia — free and easy holiday style	Villa Sylvia — relaxed holiday style
Candidates will have to understand , select , collate and , if necessary , supplement this data in order to write the report in the light of the instructions given .	Candidates will have to understand , select , collate and , if necessary , supplement this data in order to write the report considering the instructions given .
